month;WAG_C_M
2016.01.01;32660,0
2016.02.01;33873,0
2016.03.01;35501,0
2016.04.01;36497,0
2016.05.01;37270,0
2016.06.01;38447,0
2016.07.01;35888,0
2016.08.01;35405,0
2016.09.01;35843,0
2016.10.01;35749,0
2016.11.01;36195,0
2016.12.01;47554,0
2017.01.01;34422,0
2017.02.01;35497,0
2017.03.01;37899,0
2017.04.01;39225,0
2017.05.01;39679,0
2017.06.01;41454,0
2017.07.01;38073,0
2017.08.01;37099,0
2017.09.01;38047,0
2017.10.01;38333,0
2017.11.01;38848,0
2017.12.01;51197,0
2018.01.01;39017,0
2018.02.01;40443,0
2018.03.01;42364,0
2018.04.01;43381,0
2018.05.01;44076,0
2018.06.01;45848,0
2018.07.01;42413,0
2018.08.01;41364,0
2018.09.01;41774,0
2018.10.01;42332,0
2018.11.01;42595,0
2018.12.01;55569,0
2019.01.01;42263,0
2019.02.01;43062,0
2019.03.01;46324,0
2019.04.01;48030,0
2019.05.01;47926,0
2019.06.01;49348,0
2019.07.01;46509,0
2019.08.01;44961,0
2019.09.01;45541,0
2019.10.01;46549,0
2019.11.01;46285,0
2019.12.01;62239,0
2020.01.01;46674,0
2020.02.01;47257,0
2020.03.01;50948,0
2020.04.01;49306,0
2020.05.01;50747,0
2020.06.01;52123,0
2020.07.01;50145,0
2020.08.01;47649,0
2020.09.01;49259,0
2020.10.01;49539,0
2020.11.01;49274,0
2020.12.01;69278,0
2021.01.01;49516,0
2021.02.01;51229,0
2021.03.01;55208,0
2021.04.01;56614,0
2021.05.01;56171,0
2021.06.01;58782,0
2021.07.01;55170,0
2021.08.01;52355,0
2021.09.01;54687,0
