month;WAG_C_M
1993.01.01;15.3
1993.02.01;19.1
1993.03.01;23.6
1993.04.01;30.6
1993.05.01;37.5
1993.06.01;47.4
1993.07.01;56
1993.08.01;65.4
1993.09.01;80.9
1993.10.01;93
1993.11.01;101.5
1993.12.01;141.2
1994.01.01;134.2
1994.02.01;144.7
1994.03.01;164.8
1994.04.01;171.5
1994.05.01;183.5
1994.06.01;207.5
1994.07.01;221
1994.08.01;232.8
1994.09.01;253.2
1994.10.01;265
1994.11.01;281.6
1994.12.01;354.2
1995.01.01;302.6
1995.02.01;321
1995.03.01;361.5
1995.04.01;386.2
1995.05.01;429.9
1995.06.01;480.6
1995.07.01;499.5
1995.08.01;520.6
1995.09.01;564.5
1995.10.01;594.5
1995.11.01;615.7
1995.12.01;735.5
1996.01.01;654.8
1996.02.01;684.4
1996.03.01;745
1996.04.01;746.5
1996.05.01;779.3
1996.06.01;837.2
1996.07.01;842.8
1996.08.01;831
1996.09.01;848.1
1996.10.01;843.3
1996.11.01;835
1996.12.01;1017
1997.01.01;812
1997.02.01;821
1997.03.01;903
1997.04.01;901
1997.05.01;920
1997.06.01;993.2
1997.07.01;999.1
1997.08.01;982.3
1997.09.01;1026.2
1997.10.01;1006.1
1997.11.01;997.8
1997.12.01;1214.8
1998.01.01;988
1998.02.01;1000
1998.03.01;1059
1998.04.01;1040
1998.05.01;1047
1998.06.01;1122
1998.07.01;1110
1998.08.01;1052
1998.09.01;1112
1998.10.01;1123
1998.11.01;1164
1998.12.01;1482
1999.01.01;1167
1999.02.01;1199
1999.03.01;1385
1999.04.01;1423
1999.05.01;1472
1999.06.01;1626
1999.07.01;1618
1999.08.01;1608
1999.09.01;1684
1999.10.01;1716
1999.11.01;1789
1999.12.01;2283
2000.01.01;1830
2000.02.01;1839
2000.03.01;2018
2000.04.01;2039
2000.05.01;2101
2000.06.01;2294
2000.07.01;2302
2000.08.01;2289
2000.09.01;2367
2000.10.01;2425
2000.11.01;2508
2000.12.01;3025
2001.01.01;2733
2001.02.01;2655
2001.03.01;2964
2001.04.01;2923
2001.05.01;3054
2001.06.01;3284
2001.07.01;3364
2001.08.01;3376
2001.09.01;3405
2001.10.01;3515
2001.11.01;3578
2001.12.01;4541
2002.01.01;3760
2002.02.01;3725
2002.03.01;4031
2002.04.01;4110
2002.05.01;4187
2002.06.01;4460
2002.07.01;4597
2002.08.01;4511
2002.09.01;4521
2002.10.01;4646
2002.11.01;4694
2002.12.01;5738
2003.01.01;4696
2003.02.01;4701
2003.03.01;4986
2003.04.01;5100
2003.05.01;5221
2003.06.01;5550
2003.07.01;5615
2003.08.01;5491
2003.09.01;5556
2003.10.01;5864
2003.11.01;5990
2003.12.01;7344
2004.01.01;5932
2004.02.01;6141
2004.03.01;6428
2004.04.01;6448
2004.05.01;6524
2004.06.01;7003
2004.07.01;6982
2004.08.01;6873
2004.09.01;6918
2004.10.01;6908
2004.11.01;7046
2004.12.01;8799
2005.01.01;7346
2005.02.01;7465
2005.03.01;8093
2005.04.01;8002
2005.05.01;8089
2005.06.01;8637
2005.07.01;8651
2005.08.01;8616
2005.09.01;8829
2005.10.01;8701
2005.11.01;8931
2005.12.01;11319
2006.01.01;9016
2006.02.01;9255
2006.03.01;9914
2006.04.01;9833
2006.05.01;10257
2006.06.01;11106
2006.07.01;10883
2006.08.01;10853
2006.09.01;11127
2006.10.01;11046
2006.11.01;11303
2006.12.01;14263
2007.01.01;11430
2007.02.01;11757
2007.03.01;12448
2007.04.01;12494
2007.05.01;12787
2007.06.01;13712
2007.07.01;13546
2007.08.01;13270
2007.09.01;13677
2007.10.01;13986
2007.11.01;14656
2007.12.01;18591
2008.01.01;14771
2008.02.01;15354
2008.03.01;16172
2008.04.01;16538
2008.05.01;16643
2008.06.01;17715
2008.07.01;17758
2008.08.01;17244
2008.09.01;17739
2008.10.01;17643
2008.11.01;17598
2008.12.01;21681
2009.01.01;17119
2009.02.01;17098
2009.03.01;18129
2009.04.01;18009
2009.05.01;18007
2009.06.01;19247
2009.07.01;18872
2009.08.01;18335
2009.09.01;18838
2009.10.01;18798
2009.11.01;19215
2009.12.01;23827
2010.01.01;18938
2010.02.01;19017
2010.03.01;20589
2010.04.01;20358
2010.05.01;20279
2010.06.01;21795
2010.07.01;21325
2010.08.01;20753.0
2010.09.01;20999.0
2010.10.01;20970.0
2010.11.01;21486.0
2010.12.01;28027.0
2011.01.01;20669.0
2011.02.01;20680.0
2011.03.01;22673.0
2011.04.01;22519.0
2011.05.01;22779.0
2011.06.01;24137.0
2011.07.01;23598.0
2011.08.01;23051.0
2011.09.01;23468.0
2011.10.01;23602.0
2011.11.01;24296.0
2011.12.01;32809.0
2012.01.01;23746.0
2012.02.01;24036.0
2012.03.01;25487.0
2012.04.01;25800.0
2012.05.01;26385.0
2012.06.01;27494.0
2012.07.01;26684.0
2012.08.01;25718.0
2012.09.01;25996.0
2012.10.01;26803.0
2012.11.01;27448.0
2012.12.01;36450.0
2013.01.01;26840.0
2013.02.01;26620.0
2013.03.01;28693.0
2013.04.01;30026.0
2013.05.01;29723.0
2013.06.01;30986.0
2013.07.01;30229.0
2013.08.01;29226.0
2013.09.01;29346.0
2013.10.01;30069.0
2013.11.01;30290.0
2013.12.01;39648.0
2014.01.01;29535.0
2014.02.01;29255.0
2014.03.01;31486.0
2014.04.01;32947.0
2014.05.01;32272.0
2014.06.01;33726.0
2014.07.01;32515.0
2014.08.01;30763.0
2014.09.01;31929.0
2014.10.01;32439.0
2014.11.01;32546.0
2014.12.01;42136.0
2015.01.01;30929.0
2015.02.01;31325.0
2015.03.01;32642.0
2015.04.01;34377.0
2015.05.01;34380.0
2015.06.01;35395.0
2015.07.01;33901.0
2015.08.01;32176.0
2015.09.01;32911.0
2015.10.01;33357.0
2015.11.01;33347.0
2015.12.01;43408.0
2016.01.01;32660.0
2016.02.01;33873.0
2016.03.01;35501.0
2016.04.01;36497.0
2016.05.01;37270.0
2016.06.01;38447.0
2016.07.01;35888.0
2016.08.01;35405.0
2016.09.01;35843.0
2016.10.01;35749.0
2016.11.01;36195.0
2016.12.01;47554.0
2017.01.01;34422.0
2017.02.01;35497.0
2017.03.01;37899.0
2017.04.01;39225.0
2017.05.01;39679.0
2017.06.01;41454.0
2017.07.01;38073.0
2017.08.01;37099.0
2017.09.01;38047.0
2017.10.01;38333.0
2017.11.01;38848.0
2017.12.01;51197.0
2018.01.01;39017.0
2018.02.01;40443.0
2018.03.01;42364.0
2018.04.01;43381.0
2018.05.01;44076.0
2018.06.01;45848.0
2018.07.01;42413.0
2018.08.01;41364.0
2018.09.01;41774.0
2018.10.01;42332.0
2018.11.01;42595.0
2018.12.01;55569.0
2019.01.01;42263.0
2019.02.01;43062.0
2019.03.01;46324.0
2019.04.01;48030.0
2019.05.01;47926.0
2019.06.01;49348.0
2019.07.01;46509.0
2019.08.01;44961.0
2019.09.01;45541.0
2019.10.01;46549.0
2019.11.01;46285.0
2019.12.01;62239.0
2020.01.01;46674.0
2020.02.01;47257.0
2020.03.01;50948.0
2020.04.01;49306.0
2020.05.01;50747.0
2020.06.01;52123.0
2020.07.01;50145.0
2020.08.01;47649.0
2020.09.01;49259.0
2020.10.01;49539.0
2020.11.01;49274.0
2020.12.01;69278.0
2021.01.01;49516.0
2021.02.01;51229.0
2021.03.01;55208.0
2021.04.01;56614.0
2021.05.01;56171.0
2021.06.01;58782.0
2021.07.01;55170.0
2021.08.01;52355.0
2021.09.01;54687.0
