59,60,61,62,60,63,64,65,66,61,67,68,67;67,60,63
84,85,86,87,88,89,84,90,91,92,93,86;86
138,198,199,127;199
303,304,305,306,307,308,309,310,311,312;303
352,353,352;352
519;519
599,600,601,602;603,604,602,599,605,606,600
687,688,689,690,691,690,688,690,688,692;690,688
850,851,852;851
879,884,170,137,170,879,884,879,885,886,879,884,879,343,884,879,343,887,879,886,879,343,170,879,343;879
1118;1118
1545;1545
1727;1727
99;99
1907,1908,1909,1910,1911,1912,1913,1914,1907,1915,1907;1907
1945,1957,1958,1959,1960,1961,1962,1963;1959
1997,1998,244,1998,1999,1969,2000,1339;1998
2013,2016,2013,2016,2013;2013
2019;2019
2462,2463,2462,2463,2462;2462
2520;2520
2542,2543;2543
1526,552,2710,552,2710,552,2710,552,2710,552,1526;1526
2757,2761,2757,2761,2762,2763,2108,2764;2764
2180,2857,2860,2861;2857,2853,2852
2919,511,2920;2920
2933,2930,2933;2930
3022,3023,3024,2605,3025,3026,3027,2605,3028,3029,3030,3031,3032,3028,3032,2605,3026,3028;3033,3026,3032,3031
3100,1260,3101,3102,3103,1260,3103,3100,3102,3100,3103,3101,3102;3102,3100,1260
3203,3204,3205,3206,3207,3208,3209,3210,3211,3208,3212,3213,3207,3214,3208,3215,3216,3217,3218,3219,3220,3221,3217,3220,3217,3220,3217,3220;3204,3207,3217
3264,3265,3266;3267
3443,3444,3445,1933,3443;3443
158,3547,3529,3530,3549,3550,3549,3550,3529,3532,3547;3529
3608,3609,3610,3611,3610,3608,3612,3608,3612,3613,3614,3613,3615,3616,3567,3617,3612,3605,3614,3618,3614,3619,3620,3621,3616,3622,3623,3624,3625,3626,3627,3584,3628,3629,3630,3631,3632,3631,3633,3634,1157,3635,2168,3636,3581,3637,3638,3639,3640,3641,3642,3643,3561,3644,3564,3645,3560,3645,2168,3585,3623,3605,3646,3647,3648,3649,3567,3605,3650;3584,3564,3612,3623,3645,3561
1662;1662
3741,3742;3741
3975,3976,3977,3978,3976,3977,3979,3980,3979,3981,3980,3979,3982;3979
4216,4217,4216;4216
4246,4247,4246,3498,4246,4248,4246,4248,4246,4249;4246
4298;4298
4464,4465,4466,3066;3066
4512;4512
4750;4750
4813,4814,4815;4815
5055,5056,5057,5058;5058
5066,5067,5068,5067,5066,5069,5066,5069,5067,5070,5071,5067,5072,5073;5066
5133,5134,5133,5134,5135,5133;5134,5135
970,2564,5181,5182,970,3324,5183,547,4919,4540,3326,5184,5185;5183,970
5209,5210,5211,5212,5213,5214,5215,5212,5216,5217,5209,5211,5218,5216;5209
5571,5572,609,808,5202,808,807,808,609,28,609,808,609,805,609,204,609,28,610,805;805
1552,807,5201,324,5964,5965,5966,29,5965,5967;29
6000,6001;6000
6090,6091,1935;6090
6141,6142;6142
412;412
1011,1432,1011,1494,6406,1494,1011;1011
6455,6456,6455,6456;6456
6584,6585,6586,6585,6586,6585,6586,6585,6587,6585,6586,6585;6585
6596,6597,6596,6597;6597
6603,6604,6603,6605,6603,6606,6603,6607,6603,6608,6603,6606;6603,6606
6622;6622
6699;6699
6764,6765,6764,4484;6764
6925,6926,6925;6926
3288;3288
7223,7224,7225,2456;7224
7235,7236,7237,7236;7236
7277,7278,7279;7278
4477,7968,4905,4477,7968,6367,7969,6367;4477,7968,6367
7978,1724,7979,7980,7981,7982,7983,7984,7985,7986,7987,7988,7989,7990,7991,7992,7978,7979,7989,7986;7989,7979,7986,7978
1714,7996,7997,7998,7996,7999,8000,8001,7998,7997,7999,8001,8002,2807,8003,7999,8003;1714
8028,3220;8028
5655,8060,8061,8062,8063,8062,8064,8065,8064,8062,8066,8067,5655,8068,8069,8060,8070,8060,8071,8072,8073,8064,8062,8063,8064,8063,8062,8064,8063,8060,8062,8063,8062,8063,8064,8062,8060,8062,8060,8062,8061,8062;8062,8060
8130,4670,8130,4670;4670
8139;8139
8370;8370
8521;8521
8538;8538
8546,8547,8546,8547,8546,8547,8546,8547,8548,8547;8548,8547,8546
8602,8603,8604;8603
8630,8631;8630
8136;8136
2948,884,137,1536,8769,2947,2768,137;8770
2416,9067,9068,9069,9070,2419,9071,9072,9073,9074,9075,9076,9077,9078;9074,9073,9075
9475,9476;9476
1651,85,1843,3697,325,9516,325,4240,2965,9516,1844,3547,1650,9513,1655,9517,9518,9516,9518,3547,9518;3547,4240,9518
9557,9558,9559,9558,9560,9558,9561,9562,9563,9561,9562,9564,9565,9566,9567,9568,9569,9566,9570;9562,9558
9581,9582,2339,9582,9581,9583,9584;9581
9622,7529,9623;9623
5914,9643,5914;9643,5914,4089,9644
9690,1231,9691,9692,9693,9694,9695,9696,9691,9697,9698,9189,9699,9696,9698,9189,9699,9694;9694
9845,9846,9847,9848;9845
10016;10016
4938,10058,10059,10060,10061,10062,10063,10064,4938,10065,10066,10067,10068,10069,10070,10068,10071,10072,10073,10074,10075,10076,10077,10078,10079,10080,10081,10082,10083,10084,5248,10085,10086,10087,10088,10089,10090;10064,4938,10083
8547;8547
10276,10277,4879,10276;10277
10327;10327
8163,10385,10386;10386
10494,114,260,4603,5438,10495,10496;5438
10636,9519;9519
10640,10641;10640
10785,10786;10786,10787
10796,10797,10798,10796,10798,10797,7172,7176;10797
11210,4593,8289,1147,11210,11211,4795,11212;4593
11238,11239,11240,11241;11238
11262;11262
11284,11285,11284,11285,11284;11284
11310;11310
11424,11425,11424;11424,11426
2336,2335,2337,2336,2337;2337
1111,11593,1111,11594,1111;1111
1342;1342
5913,11918,11919,11918,11920;11918
5569,12202,12203,12204,12203,12205,12206,12207,12208,12209,1603,12210;12202,1603
12296,12297,12296;12296
12351;12351
4687,12379,9163,12379,4687,4333;4687
6772,12626,6772,12626,6772,12626;6772
12648,12649;12648
12821,1934,5733,10358,1814,6178,10909;10909
13034,13035,13036,13037,13038,13039,13040,13041,13042,13043,13044;13040
12882,13065;12882
8695,13184,8695,3720,6310,3720,13185,3720,13185,8187,5202,8187,13186,8582,3323,751,13187,13188,806,5774,13189,470;13185,13188,3323,5774
9021,12397,13199,13200,9021,13201,13202,9019,13203,13204,13205;9021
5810,13261,13262;5810,13263
13397,13398,13397,3307,13398,13397,13399,13397,13399,3583,13399,13397,3583,13397,3583,7785,13400,13401,13402,13403,13404,4687;13397
13464,13465,13466,13467,13468,13469,13470,13465,13471;13471
13541,13542,13543,13544,13545,13546,13547,13541,13548,13549,13548,13550,13551,13550,13552,13550,13553,13550,13551,13550,13548,13549,13550,13551,13550,13549,13548,13550,13554,13550,13548,13541,13550,13555,13550,13552,13550,13549,13550,13555,13550,13556,13550,13557,13550,13555,13558,13550,13559,1057,13550,13555,13552,13555,13560,13555,13550,13561,13554,13562,5569,13485,8365,13563,2070,13564,6997,5569,13485,8365,5843,13565,13566,13565,5847,5569,13563,11185;13550,13541
13579,13580,13581,13580,13582,13583,10402,13580,13582,13575,13584,13585,13576,13586,13587;13576
13760;13760
12646,12647,12645,13781,13782,12647,12645,13783,13784,13785,12647,13783,13785,12647,13786,13787,13788,13789,13790,6086,12647;12647
11856,13860,13861,13862,13863,13864,13862,13864,13860,13861,13865,13861,13866,13867,13866;13865,13861
1807,13868,2531,7983,2531;7983,2531
13877,13878;13877
13899,13900,13901,13902,13903,13902,13900,13904,13905,13904,13902,13906,13907,13906,13908,13906,13909,13908,13906,13908,13909,13908,13906,13908,13906;13902,13906
13925;13925
13946;13946
14062;14062
14069,14070,14071,4484,14072,14073,14071,14074,11645,14075,14076,14077,14075,14078,14079,14080,11649,14081,14082,11644,14083,14074,14084,14085,14086,14087,14088,14089,14090,14091,10802,14092,10801,14093,7908,14094,14095,7909,14094,14096,14097,14098,3740,14099,14100,1470,14101,5909,14102,14103,14104,14105,7989,14106,3738,14107,14108,14098,14109,7910;10802,7989,3739,14072,3735,14098,3738,7908
1494,1009,1494,1011,1008,1497,3847,14207,3083,1517,3083;3083
14246;14246
14316;14316
14345,14346,14347,12483,14345,14346,14345,14346,14345,12485,14348,14349;14349,12485
14517;14517
